Old.Name,Seq.Name,Plate.Well
IFG_100_56_4,POP27_52,D7
XXX_100_33_5,POP27_53,E7
IFG_100_76_3,POP27_54,F7
XXX_100_14_4,POP27_55,G7
GWR_100_159_2,POP27_56,H7
GWR_100_327_4,POP27_57,A8
GWR_100_213_4,POP27_58,B8
IFG_100_47_2,POP27_59,C8
IFG_100_101_4,POP27_60,D8
GWR_100_489_3,POP27_61,E8
XXX_100_49_2,POP27_62,F8
GWR_100_133_6,POP27_63,G8
XXX_100_21_5,POP27_64,H8
GWR_100_479_3,POP27_65,A9
GWR_100_470_4,POP27_66,B9
XXX_100_46_4,POP27_67,C9
XXX_100_126_3,POP27_68,D9
IFG_100_22_2,POP27_69,E9
XXX_100_117_3,POP27_70,F9
GWR_100_246_2,POP27_71,G9
XXX_100_83_2,POP27_72,H9
XXX_100_47_4,POP27_73,A10
GWR_100_438_2,POP27_74,B10
IFG_100_45_3,POP27_75,C10
GWR_100_379_4,POP27_76,D10
GWR_100_374_3,POP27_77,E10
XXX_100_6_2,POP27_78,F10
XXX_100_10_6,POP27_79,G10
GWR_100_258_5,POP27_80,H10
XXX_100_66_4,POP27_81,A11
XXX_100_79_2,POP27_82,B11
XXX_100_8_4,POP27_83,C11
XXX_100_11_6,POP27_84,D11
XXX_100_78_4,POP27_85,E11
GWR_100_355_5,POP27_86,F11
IFG_100_35_3,POP27_87,G11
XXX_100_105_3,POP27_88,H11
GWR_100_24_5,POP27_89,A12
XXX_100_20_5,POP27_90,B12
XXX_100_38_3,POP27_91,C12
XXX_100_112_4,POP27_92,D12
XXX_100_122_4,POP27_93,E12
GWR_100_494_5,POP27_94,F12
GWR_100_172_4,POP27_95,G12
GWR_100_250_4,POP27_96,H12
IFG_100_39_4,POP28_01,A1
GWR_100_491_4,POP28_02,B1
GWR_100_65_4,POP28_03,C1
GWR_100_119_2,POP28_04,D1
IFG_100_43_2,POP28_05,E1
XXX_100_24_5,POP28_06,F1
GWR_100_401_4,POP28_07,G1
XXX_100_53_4,POP28_08,H1
XXX_100_67_2,POP28_09,A2
GWR_100_377_6,POP28_10,B2
XXX_100_48_6,POP28_11,C2
IFG_100_44_3,POP28_12,D2
GWR_100_28_3,POP28_13,E2
GWR_100_332_2,POP28_14,F2
IFG_100_5_4,POP28_15,G2
GWR_100_92_2,POP28_16,H2
GWR_100_23_4,POP28_17,A3
IFG_100_41_3,POP28_18,B3
GWR_100_344_6,POP28_19,C3
GWR_100_255_3,POP28_20,D3
GWR_100_478,POP28_21,E3
GWR_100_431,POP28_22,F3
GWR_100_89,POP28_23,G3
GWR_100_263,POP28_24,H3
IFG_100_32,POP28_25,A4
GWR_100_170,POP28_26,B4
XXX_100_130,POP28_27,C4
GWR_100_129,POP28_28,D4
GWR_100_96,POP28_29,E4
GWR_100_485,POP28_30,F4
GWR_100_339,POP28_31,G4
GWR_100_80,POP28_32,H4
GWR_100_91,POP28_33,A5
IFG_100_9,POP28_34,B5
GWR_100_109,POP28_35,C5
XXX_100_170,POP28_36,D5
XXX_100_38,POP28_37,E5
XXX_100_173,POP28_38,F5
GWR_100_320,POP28_39,G5
GWR_100_334,POP28_40,H5
IFG_100_54,POP28_41,A6
GWR_100_27,POP28_42,B6
GWR_100_126,POP28_43,C6
XXX_100_163,POP28_44,D6
GWR_100_111,POP28_45,E6
GWR_100_283,POP28_46,F6
XXX_100_179,POP28_47,G6
IFG_100_19,POP28_48,H6
XXX_100_68,POP28_49,A7
XXX_100_233,POP28_50,B7
GWR_100_389,POP28_51,C7
XXX_100_137,POP28_52,D7
XXX_100_124,POP28_53,E7
GWR_100_327,POP28_54,F7
GWR_100_51,POP28_55,G7
GWR_100_495,POP28_56,H7
IFG_100_78,POP28_57,A8
GWR_100_245,POP28_58,B8
GWR_100_400,POP28_59,C8
GWR_100_352,POP28_60,D8
GWR_100_373,POP28_61,E8
GWR_100_73,POP28_62,F8
GWR_100_275,POP28_63,G8
XXX_100_167,POP28_64,H8
GWR_100_32,POP28_65,A9
GWR_100_159,POP28_66,B9
GWR_100_486,POP28_67,C9
XXX_100_230,POP28_68,D9
GWR_100_157,POP28_69,E9
GWR_100_467,POP28_70,F9
GWR_100_422,POP28_71,G9
GWR_100_441,POP28_72,H9
GWR_100_86,POP28_73,A10
IFG_100_84,POP28_74,B10
GWR_100_314,POP28_75,C10
XXX_100_103,POP28_76,D10
IFG_100_94,POP28_77,E10
GWR_100_173,POP28_78,F10
GWR_100_167,POP28_79,G10
GWR_100_147,POP28_80,H10
GWR_100_252,POP28_81,A11
GWR_100_37,POP28_82,B11
XXX_100_133,POP28_83,C11
GWR_100_3,POP28_84,D11
XXX_100_231,POP28_85,E11
GWR_100_329,POP28_86,F11
XXX_100_248,POP28_87,G11
XXX_100_57,POP28_88,H11
XXX_100_154,POP28_89,A12
XXX_100_168,POP28_90,B12
GWR_100_413,POP28_91,C12
GWR_100_271,POP28_92,D12
XXX_100_177,POP28_93,E12
IFG_100_24,POP28_94,F12
IFG_100_40,POP28_95,G12
GWR_100_72,POP28_96,H12
GWR_100_372,POP29_01,A1
IFG_100_6,POP29_02,B1
GWR_100_449,POP29_03,C1
GWR_100_439,POP29_04,D1
GWR_100_447,POP29_05,E1
GWR_100_344,POP29_06,F1
GWR_100_212,POP29_07,G1
XXX_100_228,POP29_08,H1
GWR_100_92,POP29_09,A2
XXX_100_155,POP29_10,B2
IFG_100_99,POP29_11,C2
GWR_100_55,POP29_12,D2
GWR_100_346,POP29_13,E2
IFG_100_67,POP29_14,F2
XXX_100_158,POP29_15,G2
GWR_100_136,POP29_16,H2
IFG_100_64,POP29_17,A3
IFG_100_8,POP29_18,B3
GWR_100_322,POP29_19,C3
GWR_100_108,POP29_20,D3
XXX_100_37,POP29_21,E3
XXX_100_15,POP29_22,F3
GWR_100_180,POP29_23,G3
GWR_100_109,POP29_24,H3
GWR_100_246,POP29_25,A4
IFG_100_42,POP29_26,B4
XXX_100_250,POP29_27,C4
GWR_100_227,POP29_28,D4
GWR_100_68,POP29_29,E4
GWR_100_262,POP29_30,F4
GWR_100_26,POP29_31,G4
GWR_100_124,POP29_32,H4
XXX_100_151,POP29_33,A5
GWR_100_61,POP29_34,B5
GWR_100_11,POP29_35,C5
IFG_100_94,POP29_36,D5
GWR_100_371,POP29_37,E5
IFG_100_28,POP29_38,F5
IFG_100_72,POP29_39,G5
XXX_100_4,POP29_40,H5
GWR_100_20,POP29_41,A6
GWR_100_287,POP29_42,B6
GWR_100_313,POP29_43,C6
XXX_100_92,POP29_44,D6
GWR_100_277,POP29_45,E6
IFG_100_76,POP29_46,F6
XXX_100_186,POP29_47,G6
XXX_100_124,POP29_48,H6
XXX_100_240,POP29_49,A7
IFG_100_19,POP29_50,B7
GWR_100_282,POP29_51,C7
XXX_100_76,POP29_52,D7
GWR_100_119,POP29_53,E7
GWR_100_81,POP29_54,F7
GWR_100_466,POP29_55,G7
GWR_100_30,POP29_56,H7
GWR_100_147,POP29_57,A8
GWR_100_1,POP29_58,B8
GWR_100_309,POP29_59,C8
GWR_100_472,POP29_60,D8
XXX_100_115,POP29_61,E8
XXX_100_139,POP29_62,F8
XXX_100_165,POP29_63,G8
IFG_100_80,POP29_64,H8
GWR_100_336,POP29_65,A9
GWR_100_276,POP29_66,B9
GWR_100_448,POP29_67,C9
GWR_100_451,POP29_68,D9
GWR_100_90,POP29_69,E9
IFG_100_100,POP29_70,F9
GWR_100_193,POP29_71,G9
IFG_100_47,POP29_72,H9
GWR_100_85,POP29_73,A10
