File	Type	#Aligned	All	%Mapped
POP26_58	s	496567	636503	78.0148718859
POP26_60	s	906301	1149390	78.8506077137
POP26_62	s	676782	856702	78.9985315781
POP26_63	s	552546	690851	79.9804878331
POP26_64	s	538456	684728	78.637940905
POP26_65	s	606180	771882	78.5327290959
POP26_66	s	702978	890480	78.9437157488
POP26_67	s	705362	898474	78.5066679726
POP26_68	s	438892	557934	78.6637846053
POP26_70	s	379135	481836	78.6854863481
POP26_71	s	872664	1103343	79.0927209399
POP26_72	s	1012282	1279782	79.0980026286
POP26_74	s	530935	678192	78.2868273291
POP26_76	s	789982	1011723	78.0828349262
POP26_79	s	418685	537227	77.9344671805
POP26_80	s	615739	778420	79.1011279258
POP26_81	s	952374	1200610	79.3241768768
POP26_82	s	753940	941126	80.1104209213
POP26_83	s	880723	1091252	80.7075725864
POP26_84	s	623519	786664	79.2611585124
POP26_85	s	833283	1044297	79.7936793843
POP26_88	s	1299530	1657222	78.416168745
POP26_91	s	705152	880355	80.0985965889
POP26_92	s	973128	1224298	79.4845699331
POP26_93	s	754794	954979	79.0377589455
POP26_94	s	212626	286934	74.1027553375
POP26_95	s	741147	925059	80.1188897141
POP26_96	s	643943	807511	79.7441768595
POP270_2	s	180136	262133	68.7193142412
POP27_01	s	285084	430823	66.1719546078
POP27_03	s	300527	409557	73.3785529243
POP27_04	s	635753	798579	79.6105332096
POP27_06	s	1291078	1650371	78.2295617167
POP27_07	s	894396	1123721	79.5923543299
POP27_08	s	1063195	1342479	79.1963971131
POP27_09	s	829424	1046299	79.272177456
POP27_10	s	761272	958412	79.4305580481
POP27_11	s	890158	1125795	79.0692799311
POP27_13	s	791652	997653	79.3514378246
POP27_15	s	1019724	1279936	79.669920996
POP27_16	s	448664	563105	79.6767920725
POP27_17	s	1328791	1681827	79.0087803323
POP27_18	s	937513	1185555	79.0779845726
POP27_22	s	1420521	1797755	79.0163843238
POP27_23	s	1193368	1522227	78.3961918952
POP27_24	s	1105390	1402062	78.8403080606
POP27_25	s	1006327	1269382	79.2769237314
POP27_26	s	438961	560879	78.2630478231
POP27_27	s	284572	412439	68.9973547603
POP27_28	s	991059	1250813	79.2331867353
POP27_29	s	1011764	1287912	78.5584729391
POP27_30	s	870321	1099214	79.1766662361
POP27_31	s	932470	1193678	78.1173817395
POP27_32	s	913647	1157123	78.9585031151
POP27_33	s	859786	1097730	78.3239958824
POP27_35	s	976211	1235084	79.0400490979
POP27_36	s	806230	1019146	79.1083907507
POP27_37	s	1603104	2026154	79.1205406894
POP27_38	s	1076892	1377978	78.1501591462
POP27_39	s	1100276	1392957	78.9885114903
POP27_41	s	423510	535373	79.1055955381
POP27_42	s	816281	1032212	79.0807508535
POP27_43	s	1033318	1321206	78.2102109739
POP27_44	s	741367	950432	78.003160668
POP27_45	s	848532	1068586	79.4069920437
POP27_48	s	871546	1113557	78.2668511805
POP27_49	s	824627	1055497	78.1268918813
POP27_51	s	862063	1088803	79.1752961739
POP27_53	s	636092	807102	78.811847821
POP27_56	s	1115995	1408485	79.233715659
POP27_57	s	949182	1208473	78.5439145103
POP27_58	s	833569	1063147	78.405808416
POP27_61	s	885864	1126954	78.6069351544
POP27_63	s	778516	977188	79.6690094434
POP27_65	s	851450	1084641	78.5006283185
POP27_66	s	994609	1258268	79.0458789384
POP27_68	s	804705	1029473	78.1666930556
POP27_70	s	177507	269906	65.7662297244
POP27_71	s	715209	909463	78.6408023196
POP27_72	s	806025	1023908	78.7204514468
POP27_74	s	839499	1072919	78.2443968277
POP27_76	s	952905	1213843	78.503150737
POP27_77	s	737062	935971	78.7483800246
POP27_79	s	996082	1268971	78.4952532406
POP27_80	s	824884	1037585	79.5003782823
POP27_81	s	715844	901586	79.3983047652
POP27_83	s	1174456	1481157	79.2931471816
POP27_84	s	802732	1010462	79.4420769905
POP27_86	s	1034715	1326301	78.0150961207
POP27_88	s	1004090	1250304	80.3076691749
POP27_89	s	610882	773804	78.9453143173
POP27_90	s	704336	878448	80.1795894578
POP27_91	s	877160	1116468	78.5656194356
POP27_92	s	869897	1106586	78.6108806726
POP27_93	s	764213	974053	78.4570244124
POP27_94	s	969712	1223056	79.2859852697
POP27_95	s	670187	845964	79.2216926489
POP27_96	s	785831	998882	78.6710542386
POP28_02	s	1014477	1310193	77.4295848016
POP28_03	s	911611	1159936	78.5914912547
POP28_04	s	883692	1125687	78.5024611637
POP28_06	s	921578	1179938	78.1039342745
POP28_07	s	925166	1184182	78.1270108818
POP28_09	s	795135	1020843	77.8900379392
POP28_10	s	1013495	1282732	79.0106585008
POP28_13	s	907387	1153591	78.6576004841
POP28_14	s	845116	1059371	79.7752628682
POP28_16	s	934100	1186610	78.7200512384
POP28_17	s	831629	1054581	78.8587126072
POP28_19	s	946846	1194562	79.2630269505
POP28_20	s	947332	1194033	79.3388457438
POP28_21	s	886064	1132055	78.2704020564
POP28_22	s	850705	1056217	80.5426347048
POP28_23	s	809476	1026557	78.8534879213
POP28_24	s	842966	1065332	79.1270702466
POP28_26	s	950595	1217751	78.061524893
POP28_27	s	940694	1215269	77.4062368085
POP28_28	s	852926	1076389	79.2395685946
POP28_29	s	879194	1106538	79.4544787436
POP28_30	s	922268	1170725	78.7775096628
POP28_31	s	826401	1035721	79.7899241205
POP28_32	s	841380	1063889	79.0853181112
POP28_33	s	806384	1016812	79.3051222842
POP28_35	s	898911	1122679	80.068389985
POP28_36	s	881957	1102450	79.9997278788
