Old.Name,Blup_Transfo_AUC_bud_burst_y1_y2,Blup_Transfo_bud_burst_y1_y2,Blup_Transfo_time_serie_bud_burst_y1_y2,Blup_Transfo_bud_burst_y1_y2_v2,Blup_Transfo_time_serie_bud_burst_y1_y2_v2,Blup_Transfo_AUC_bud_burst_y2,Blup_Transfo_bud_burst_y2,Blup_Transfo_time_serie_bud_burst_y2,Blup_Transfo_bud_burst_y2_v2,Blup_Transfo_time_serie_bud_burst_y2_v2,Blup_Transfo_AUC_color_y1_y2_y3,Blup_Transfo_AUC_drop_y1_y2_y3,Blup_Transfo_color_y1_y2_y3,Blup_Transfo_drop_y1_y2_y3,Blup_Transfo_time_serie_color_y1_y2_y3,Blup_Transfo_time_serie_drop_y1_y2_y3,Blup_Transfo_color_y1_y2_y3_v2,Blup_Transfo_drop_y1_y2_y3_v2,Blup_Transfo_AUC_color_y2,Blup_Transfo_AUC_drop_y2,Blup_Transfo_color_y2,Blup_Transfo_drop_y2,Blup_Transfo_dbase_y2,Blup_Transfo_time_serie_color_y2,Blup_Transfo_time_serie_dbase,Blup_Transfo_time_serie_drop_y2,Blup_Transfo_color_y2_v2,Blup_Transfo_drop_y2_v2,Blup_Transfo_cop1,Blup_Transfo_cop2,Blup_Transfo_growth_duration_y1_y2,Blup_Transfo_growth_duration_y1_y2_v2,Blup_Transfo_height_y2,Blup_Transfo_growth_duration_y2,Blup_Transfo_time_serie_height,Blup_Transfo_growth_duration_y2_v2,Blup_Transfo_vol_y2,Blup_Transfo_time_serie_vol,Blup_Transfo_time_serie_dbh_v2,Blup_Transfo_AUC_height
GWR_100_473,5990.177863,-0.744315124,1.454124159,-0.744307286,1.454124159,569.6020351,-0.971838129,0.250223981,-0.971838129,0.250223981,5195.298497,15.94517511,-2586.002514,-1712.562699,1.620974993,0.178599704,-3072.54805,-4013.32169,29.75752116,1.288659602,-2606.875447,-1089.536249,-0.071373706,0.784770005,0.0482188,0.27513559,-3732.704862,-1876.785206,-0.00377725,-0.224685008,-405.0968883,-1432.293286,0.109123846,-1733.015215,0.061931214,-2615.891926,0.099410558,0.144522031,0.01769733,0.838505538
XXX_100_82,-1687.226454,-0.723032076,-0.199274899,-0.723024277,-0.199274899,-778.5378055,-0.971838129,0.186740658,-0.971838129,0.186740658,-1935.669998,-16.57042438,-550.2932588,1460.385855,-0.075212839,-0.067257299,1062.886576,3218.015609,-10.5417343,0.194927104,2158.20562,404.9472094,-0.418023554,-0.267679537,-0.022895519,0.062219718,2687.000161,2395.343909,-0.071328712,-0.163319434,1363.079341,1611.748649,-1.371021646,2081.342004,-0.060836156,2462.196929,-0.063481035,-0.083793136,-0.043389675,-23.86965853
GWR_100_132,12169.32559,-4.682153726,2.449032459,-4.682138232,2.449032459,15156.94522,-7.667015959,2.895362469,-7.667015959,2.895362469,2325.976026,-0.762937184,65.98513654,1460.385855,0.508275775,0.078709298,-263.4870046,123.7111945,9.468930479,1.105832541,2158.20562,404.9472094,-0.076632294,0.103773242,0.057944088,0.247798289,-2329.121784,72.825408,0.34497284,0.481075416,3012.570009,1749.27195,1.128308222,5265.071026,-0.032839746,1291.055066,0.134839612,0.085167011,-0.005289123,-12.80955256
GWR_100_104,353.4622668,-1.593687818,8.1798e-4,-1.593678388,8.1798e-4,6107.061884,-2.718406258,1.244796053,-2.718406258,1.244796053,-5160.715851,-8.903004728,3336.429895,1075.84349,-1.662844649,-0.010219988,1479.886324,1258.77258,5.300041983,0.86518431,3817.062968,404.9472094,0.93250707,-0.020044351,0.132697784,0.115237804,1283.417083,1621.171075,0.036981508,0.276867958,2966.125892,1849.552922,3.160628849,4252.23526,0.095451171,2080.59202,0.483178575,0.393804922,0.074598306,21.56757204
GWR_100_298,12711.70663,-3.074266609,2.781055888,-3.074254405,2.781055888,11539.19366,-5.629353141,2.239368124,-5.629353141,2.239368124,-310.0766682,6.625387301,-343.5136848,1460.385855,-0.075212839,0.070461813,-793.352991,123.7111945,8.91307868,0.121374278,-2606.875447,404.9472094,0.017233213,0.227590836,0.066174466,-0.001337256,-3732.704862,72.825408,0.129966826,0.048019176,1698.882979,2180.122948,0.521854962,348.1150074,0.047220142,-711.4700415,0.150097905,0.156552635,0.062613598,-8.035278
GWR_100_247,8602.325317,-2.330205462,1.812185102,-2.330194652,1.812185102,7461.45,-4.1738797,1.541051564,-4.1738797,1.541051564,-1734.533437,0.798612269,2208.649344,638.4929153,-0.740118469,0.080779052,666.3902119,53.26175628,1.964931185,0.255462058,2158.20562,404.9472094,0.877041142,-0.081953147,0.113326598,0.052080574,-120.16599479999999,72.825408,0.03210038,0.633297651,2927.016231,2473.881167,3.010521303,3599.02337,0.070139907,1572.893985,0.44514291,0.29995779,0.05114435,15.66064764
GWR_100_237,2647.683386,0.282704541,0.548440599,0.282710455,0.548440599,907.6039903,1.065824689,0.05977401,1.065824689,0.05977401,-9956.989107,-28.59491295,6719.375417,2738.211792,-4.17320264,-0.2771524,6369.747793,6991.283683,-40.27980558,-1.739556231,3817.062968,404.9472094,3.090522904,-1.258220282,0.380241274,-0.419755098,6484.200594,2395.343909,0.369476494,1.584878862,5120.903365,4012.467448,6.554556473,2480.130007,0.269176891,4599.683249,1.021207671,0.996558657,0.292979704,82.62307008
GWR_100_99,-6553.910393,1.312555581,-1.326113748,1.312559566,-1.326113748,-6600.145425,3.103487507,-1.167570248,3.103487507,-1.167570248,-4302.324759,-3.655690612,3572.523048,1075.84349,-1.500010617,-0.048130274,2260.577023,1905.294945,-20.2691408,-0.770582605,3817.062968,404.9472094,1.164790088,-0.639132316,0.180867457,-0.220114886,2687.000161,1621.171075,0.129966826,0.711619342,-285.2205338,402.848911,4.014013963,1541.62032,0.192606092,743.4506357,0.562135372,0.538290521,0.177135433,59.18830907
XXX_100_109,-399.1980039,-0.149889381,0.064005206,-0.149882656,0.064005206,-1662.222495,0.192540625,-0.088353745,0.192540625,-0.088353745,-5312.784124,-27.89073254,1843.814118,691.3011248,-1.730692162,-0.197936324,2631.004801,5427.286957,-7.762475307,-1.194723489,2158.20562,404.9472094,-1.063568357,-0.267679537,-0.112322714,-0.140365718,2687.000161,846.9982416,-0.253113474,-0.88905703,1550.086454,1941.582439,-3.341128324,1541.62032,-0.029398183,1961.14996,-0.439541183,-0.270304171,-0.087468914,-37.3851735
GWR_100_460,2403.285941,-0.589510404,0.580034211,-0.589502855,0.580034211,5437.901323,-0.68074344,1.054346082,-0.68074344,1.054346082,2439.137053,9.945612361,-1386.027371,-620.7505992,0.861082844,0.149244686,8.036361512,-2018.374041,10.30270818,0.895192835,-948.0180992,404.9472094,-0.140871691,0.289499632,0.025368795,0.23736348,-120.16599479999999,72.825408,-0.126819309,-0.250283038,-348.6051562,1106.985153,1.104716471,-562.3794647,0.068854179,103.00841,0.071990332,0.098934504,-0.010637854,-2.937485595
